"PO","取引業者コード","","配送センター","ウィンドウの種類","ウィンドウ開始日","ウィンドウ終了日","総ケース数","総額"
"67NI9ESY","2UQ7Z","2020/05/22","TYO1 - 川口市, 埼玉県","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","2","6342"
"6LDT7TZF","2UQ7Z","2020/05/22","KIX2 - 大東市, Osaka","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","1","20270"
"3R23OBLV","2UQ7Z","2020/05/22","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","8","30576"
"5LSG2TEZ","2UQ7Z","2020/05/22","HND9 - 川崎市, 神奈川県","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","3","11908"
"1FYD6CEC","WP1A4","2020/05/22","KIX3 - 茨木市, Osaka","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","10","12354"
"7G8SQQIG","2UQ7Z","2020/05/22","VJNB - 神戸市, 兵庫県","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","5","81750"
"5KKCIOKN","2UQ7Z","2020/05/22","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","5","18465"
"1OATRJBQ","2UQ7Z","2020/05/22","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","6","9404"
"169GCBHZ","2UQ7Z","2020/05/22","TPF6 - 印西市, 千葉県","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","1","20270"
"2FUHALHC","2UQ7Z","2020/05/22","NGO2 - 多治見市, Gifu","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","3","6501"
"69IDMWRK","2UQ7Z","2020/05/22","TPF2 - 比企郡, Saitama","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","17","311397"
"1UWZ8PNP","2UQ7Z","2020/05/22","TPF7 - 印西市, 千葉県","着荷ウィンドウ (元払い)","2020/05/22","2020/05/27","2","28500"
"1XA8D8GS","2UQ7Z","2020/05/21","TYO1 - 川口市, 埼玉県","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","7","37683"
"4FJ73K8B","WP1A4","2020/05/21","NGO2 - 多治見市, Gifu","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","10","8141"
"3BY6AY5W","2UQ7Z","2020/05/21","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","7","34411"
"7OVVAMMU","2UQ7Z","2020/05/21","VJNC - 東大阪市, 大阪府","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","1","18600"
"4EB7BTIM","2UQ7Z","2020/05/21","HND8 - 八王子市, Tokyo","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","10","48621"
"4YYC3TEY","2UQ7Z","2020/05/21","TPFA - 野田市, Chiba","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","13","232740"
"82LW34LG","2UQ7Z","2020/05/21","VJNB - 神戸市, 兵庫県","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","1","22350"
"5HTAUXBG","2UQ7Z","2020/05/21","NRT1 - 市川市, Chiba","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","17","67263"
"898XQVTI","2UQ7Z","2020/05/21","NGO2 - 多治見市, Gifu","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","6","26176"
"7DXUWGVF","WP1A4","2020/05/21","KIX5 - 京田辺市, 京都府","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","7","4595"
"4IRP9PFW","2UQ7Z","2020/05/21","HND6 - 川崎市, Kanagawa","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","10","61650"
"4IGX4WYT","2UQ7Z","2020/05/21","HSG1 - 鳥栖市, Saga","着荷ウィンドウ (元払い)","2020/05/21","2020/05/26","7","28874"
